"id","filename","link","response code","response text","title","content-type","screen shot","archived","internet archive response code","internet archive response text","wayback earliest date","internet archive earliest","wayback latest date","internet archive latest","internet archive save link","protocol error","protocol error","analysis version number","analysis version text","stats creation time"
"ea714877d5191032f7da274997ff66e2","The Million Dollar Homepage - Own a piece of internet history!.html","http://rapidresponse.directtrack.com/sw/19120/CD9","200","OK","","text/html","snapshots are not currently enabled","true","302","Found","01 October 2005","http://web.archive.org/web/20051001044809/http://rapidresponse.directtrack.com:80/sw/19120/CD9/","02 July 2017","http://web.archive.org/web/20170702171743/http://rapidresponse.directtrack.com/sw/19120/CD9/","http://web.archive.org/save/http://rapidresponse.directtrack.com/sw/19120/CD9","","","0.0.6","exponentialDK-httpreserve/0.0.6","302.302062ms"
"1d961847ea767f85c2836fc4eebf979d","The Million Dollar Homepage - Own a piece of internet history!.html","http://rapidresponse.directtrack.com/sw/16436/CD9","200","OK","","text/html","snapshots are not currently enabled","true","302","Found","13 October 2005","http://web.archive.org/web/20051013064413/http://rapidresponse.directtrack.com:80/sw/16436/CD9/","02 July 2017","http://web.archive.org/web/20170702175150/http://rapidresponse.directtrack.com/sw/16436/CD9/","http://web.archive.org/save/http://rapidresponse.directtrack.com/sw/16436/CD9","","","0.0.6","exponentialDK-httpreserve/0.0.6","1.099749419s"
"89236ec2f155614114dbc9a3a53fc00d","The Million Dollar Homepage - Own a piece of internet history!.html","http://rapidresponse.directtrack.com/sw/19409/CD9","200","OK","","text/html","snapshots are not currently enabled","true","302","Found","01 October 2005","http://web.archive.org/web/20051001053248/http://rapidresponse.directtrack.com:80/sw/19409/CD9/","02 July 2017","http://web.archive.org/web/20170702180027/http://rapidresponse.directtrack.com/sw/19409/CD9/","http://web.archive.org/save/http://rapidresponse.directtrack.com/sw/19409/CD9","","","0.0.6","exponentialDK-httpreserve/0.0.6","414.104867ms"
"dace0fe2237a721bccffbcce8d3a1364","The Million Dollar Homepage - Own a piece of internet history!.html","http://www.rapidnewsdaily.com","200","OK","","text/html; charset=UTF-8","snapshots are not currently enabled","true","302","Found","04 October 2005","http://web.archive.org/web/20051004065400/http://www.rapidnewsdaily.com:80/","02 July 2017","http://web.archive.org/web/20170702185230/http://www.rapidnewsdaily.com/","http://web.archive.org/save/http://www.rapidnewsdaily.com","","","0.0.6","exponentialDK-httpreserve/0.0.6","1.664382248s"
"ab5037b1b3926711267cdaa267bdebf4","The Million Dollar Homepage - Own a piece of internet history!.html","http://www.rcade.com","200","OK","iphone games, ipod touch games, ipad games, & casual games. skyworks.com find your game","text/html","snapshots are not currently enabled","true","302","Found","28 April 2001","http://web.archive.org/web/20010428004606/http://www.rcade.com:80/","04 July 2017","http://web.archive.org/web/20170704014837/http://www.rcade.com/","http://web.archive.org/save/http://www.rcade.com","","","0.0.6","exponentialDK-httpreserve/0.0.6","4.243747001s"
"fca2c7f029e9636021cc5bbaf991296d","The Million Dollar Homepage - Own a piece of internet history!.html","http://www.freedom-mobiles.co.uk/cgi/frefer.cgi?refer=dollar","206","Partial Content","www.freedom-mobiles.co.uk is coming soon!","text/html; charset=utf-8","snapshots are not currently enabled","true","302","Found","21 June 2006","http://web.archive.org/web/20060621103610/http://www.freedom-mobiles.co.uk:80/cgi/frefer.cgi?refer=dollar","02 July 2017","http://web.archive.org/web/20170702072842/http://www.freedom-mobiles.co.uk/cgi/frefer.cgi?refer=dollar","http://web.archive.org/save/http://www.freedom-mobiles.co.uk/cgi/frefer.cgi?refer=dollar","","","0.0.6","exponentialDK-httpreserve/0.0.6","2.093543001s"
"16729fb21163ba31ab6bd6f3c71c274d","The Million Dollar Homepage - Own a piece of internet history!.html","http://www.tomalbrighton.co.uk","0","client request failed: client.Do failed: Get http://www.tomalbrighton.co.uk: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)","","","snapshots are not currently enabled","true","302","Found","18 April 2005","http://web.archive.org/web/20050418152727/http://www.tomalbrighton.co.uk:80/","04 January 2012","http://web.archive.org/web/20120104104758/http://www.tomalbrighton.co.uk/","http://web.archive.org/save/http://www.tomalbrighton.co.uk","","","0.0.6","exponentialDK-httpreserve/0.0.6","2.336868909s"
"c4d2068cf17551dfdcc2c11a772be57c","The Million Dollar Homepage - Own a piece of internet history!.html","http://www.muchgames.com","200","OK","free games online - over 20,000 games to play - muchgames.com","text/html; charset=ISO-8859-1","snapshots are not currently enabled","true","302","Found","28 September 2002","http://web.archive.org/web/20020928034108/http://www.muchgames.com:80/","25 June 2017","http://web.archive.org/web/20170625230441/http://muchgames.com/","http://web.archive.org/save/http://www.muchgames.com","","","0.0.6","exponentialDK-httpreserve/0.0.6","1.255182757s"
"e7008b7e7234ba54055f47b8c01efc7d","The Million Dollar Homepage - Own a piece of internet history!.html","http://www.creditcardexpert.co.uk","0","error: client request failed: no route to host","","","snapshots are not currently enabled","true","302","Found","16 November 2001","http://web.archive.org/web/20011116200325/http://www.creditcardexpert.co.uk:80/","16 June 2016","http://web.archive.org/web/20160616181954/http://www.creditcardexpert.co.uk/","http://web.archive.org/save/http://www.creditcardexpert.co.uk","","","0.0.6","exponentialDK-httpreserve/0.0.6","1.566151937s"
"d616d9c527ab4019a3946b4d36739182","The Million Dollar Homepage - Own a piece of internet history!.html","http://www.insituproductions.com","0","error: client request failed: no such host","","","snapshots are not currently enabled","true","302","Found","13 February 2003","http://web.archive.org/web/20030213151454/http://www.insituproductions.com:80/","08 August 2013","http://web.archive.org/web/20130808002901/http://www.insituproductions.com/","http://web.archive.org/save/http://www.insituproductions.com","","","0.0.6","exponentialDK-httpreserve/0.0.6","685.748932ms"
